kernel,opcode,count
main_kernel,SYNCS,160268.0
main_kernel,IMAD,158104.0
main_kernel,FMUL,129024.0
main_kernel,LOP3,125760.0
main_kernel,BRA,90670.0
main_kernel,F2FP,77312.0
main_kernel,NANOSLEEP,75918.0
main_kernel,LDS,71328.0
main_kernel,STSM,46592.0
main_kernel,VIADD,45976.0
main_kernel,STS,42960.0
main_kernel,FADD,41536.0
main_kernel,LEA,39312.0
main_kernel,F2F,38912.0
main_kernel,LDSM,21504.0
main_kernel,ISETP,19848.0
main_kernel,PRMT,15488.0
main_kernel,R2UR,13992.0
main_kernel,NOP,12704.0
main_kernel,HMMA,10752.0
main_kernel,MUFU,9504.0
main_kernel,BAR,9344.0
main_kernel,SHF,5832.0
main_kernel,BSYNC,4912.0
main_kernel,STG,4096.0
main_kernel,BSSY,3624.0
main_kernel,FFMA,3584.0
main_kernel,FENCE,2984.0
main_kernel,LDTM,2944.0
main_kernel,MEMBAR,2720.0
main_kernel,UTCHMMA,2688.0
main_kernel,S2R,2000.0
main_kernel,UMOV,1968.0
main_kernel,UIADD3,1504.0
main_kernel,MOV,1488.0
main_kernel,WARPSYNC,1352.0
main_kernel,ULEA,1296.0
main_kernel,IADD3,1272.0
main_kernel,CS2R,1040.0
main_kernel,USHF,576.0
main_kernel,LDL,520.0
main_kernel,UTCBAR,496.0
main_kernel,STTM,480.0
main_kernel,UISETP,352.0
main_kernel,UTMALDG,320.0
main_kernel,ULOP3,264.0
main_kernel,S2UR,168.0
main_kernel,LDCU,168.0
main_kernel,LDC,144.0
main_kernel,STL,128.0
main_kernel,EXIT,104.0
main_kernel,ELECT,104.0
main_kernel,SHFL,96.0
main_kernel,DEPBAR,72.0
main_kernel,UTMASTG,64.0
main_kernel,UTMACMDFLUSH,64.0
main_kernel,UTMACCTL,48.0
main_kernel,P2R,32.0
main_kernel,ATOMS,32.0
main_kernel,UTCATOMSWS,16.0
main_kernel,REDUX,16.0
main_kernel,VOTEU,8.0
main_kernel,UVIRTCOUNT,8.0
main_kernel,UFLO,8.0
